Regeion,Delivery points
WEST GODAVARI - 1,Ganapavaram
WEST GODAVARI - 1,Undi
WEST GODAVARI - 1,Yandagandi
WEST GODAVARI - 1,Korukollu
WEST GODAVARI - 1,Juttiga
WEST GODAVARI - 1,Bhimavaram
WEST GODAVARI - 1,Gollavanitippa
WEST GODAVARI - 1,Ramayanapuram
WEST GODAVARI - 1,"Eelampudi,Komarada"
WEST GODAVARI - 1,Juvvalapalem
WEST GODAVARI - 1,Loasari
WEST GODAVARI - 1,AKIVEEDU
WEST GODAVARI - 1,Kommuchikkala
WEST GODAVARI - 1,Siva Devuni Chikkala
WEST GODAVARI - 1,Veeravasaram
WEST GODAVARI - 1,Mastyapuri
WEST GODAVARI - 1,Kopparru
WEST GODAVARI - 1,Pattepuram
WEST GODAVARI - 1,Eluru
WEST GODAVARI - 1,Denduluru
WEST GODAVARI - 1,Jayapuram
WEST GODAVARI - 1,ATTILI
WEST GODAVARI - 1,PIPPARA
WEST GODAVARI - 1,KOMMARA
WEST GODAVARI - 1,KASIPADU
WEST GODAVARI - 1,PEDAKAPAVARAM
WEST GODAVARI - 1,KOLAMURU
WEST GODAVARI - 1,KESAVARAM
WEST GODAVARI - 1,YANDAGANDI
WEST GODAVARI - 1,RAYAKUDURU
WEST GODAVARI - 1,KALIGATLA
WEST GODAVARI - 1,NIDAMARRU
WEST GODAVARI - 1,KOLLAPARRU
WEST GODAVARI - 1,CHERUKUMILLI
WEST GODAVARI - 1,KALUVAPUDI
WEST GODAVARI - 1,CHATAPARRU
WEST GODAVARI - 1,VADDIGUDEM
WEST GODAVARI - 1,GUNAPARRU
WEST GODAVARI - 1,RACHURU
WEST GODAVARI - 1,KOVVALI
WEST GODAVARI - 1,KONIKI
WEST GODAVARI - 1,BAVAIPALEM
WEST GODAVARI - 1,KANTERU
WEST GODAVARI - 1,PENUMANTRA
WEST GODAVARI - 1,NELAPOGULA
WEST GODAVARI - 1,NARAYANAPURAM
WEST GODAVARI - 1,"VISAKODERU,NEAR BHIMAVARAM"
WEST GODAVARI - 1,THOLERU NEAR VEERAVASARAM
WEST GODAVARI - 1,"PENNADA, NEAR BHIMAVARAM"
WEST GODAVARI - 1,BHIMADOLE
WEST GODAVARI - 1,"PATTIKOLLALANKA, Near GUNDUGOLANU"
WEST GODAVARI - 1,"CHILUKURU, NEAR UNDI"
WEST GODAVARI - 1,"MAHADEVIPATNAM, NEAR BHIMAVRAM"
WEST GODAVARI - 1,BHUVANAPALLI
WEST GODAVARI - 1,VENDRA
WEST GODAVARI - 1,NOWDURU NEAR NELLAMURU 
WEST GODAVARI - 1,"KALLA, near Juvvalapalem"
WEST GODAVARI - 1,GANAPAVARAM & ARDHAVARAM
WEST GODAVARI - 1,PULLA  NEAR  SAYAM PALEM 
WEST GODAVARI - 1,SREEPARRU  NEAR ELURU 
WEST GODAVARI - 1,CHINTAPADU 
WEST GODAVARI - 1,KONDANGI
WEST GODAVARI - 1,KANCHUMARRU
WEST GODAVARI - 1,"ARAVALLI, NEAR ATTILI"
WEST GODAVARI - 1,CHERUKUVADA
WEST GODAVARI - 1,DOSAPADU NEAR GUNDUGOLANU
WEST GODAVARI - 1,GUDDIGUDEM
WEST GODAVARI - 1,BHIMADOLE
WEST GODAVARI - 1,CHINAMIRAM
WEST GODAVARI - 1,PEDAMIRAM
WEST GODAVARI - 1,DIRUSUMARRU
WEST GODAVARI - 1,BETAPUDI near bhimavaram
WEST GODAVARI - 1,"GUTLAPADU,near bhimavaram"
WEST GODAVARI - 1,SRUNGAVRUKSHAM
WEST GODAVARI - 1,SEREPALEM
WEST GODAVARI - 1,RAMAVARAM
WEST GODAVARI - 1,PEDAPADU Near ELURU
WEST GODAVARI - 1,"TUNDURRU, near KOPPARRU"
WEST GODAVARI - 1,SATYANARAYANAPURAM
WEST GODAVARI - 1,MYPA NEAR YANDAGANDI
WEST GODAVARI - 1,NATTA RAMESWARAM
WEST GODAVARI - 1,MOGALLU
WEST GODAVARI - 1,"VALIVARRU, NEAR  UNDI"
WEST GODAVARI - 1,"PALI, near NATTA RAMESWARAM"
WEST GODAVARI - 1,"POTHUNURU, NEAR DOSAPDU"
WEST GODAVARI - 1,"UPPULURU, NEAR KOLAMURU"
WEST GODAVARI - 1,CHINAKAPAVARAM
WEST GODAVARI - 1,NARASIMHAPURAM
WEST GODAVARI - 1,MANDALAPARRU NEAR GANAPAVARAM
WEST GODAVARI - 1,R P PALEM NEAR KONIKI
WEST GODAVARI - 1,KAMATALAPALLI NEAR VEERAVASARAM 
WEST GODAVARI - 1,PANDUVA near GANAPAVARAM
WEST GODAVARI - 1,"BHAGGESWARAM, near RAYAKUDURU"
WEST GODAVARI - 1,"RAYALAM, near BHIMAVARAM"
WEST GODAVARI - 1,"DODANAPUDI, NEAR JUVVALAPALEM"
WEST GODAVARI - 2,Kanuru
WEST GODAVARI - 2,Teeparru
WEST GODAVARI - 2,Marteru
WEST GODAVARI - 2,Kavitam
WEST GODAVARI - 2,Palakol
WEST GODAVARI - 2,Penumadam
WEST GODAVARI - 2,Poduru
WEST GODAVARI - 2,Poolapalli
WEST GODAVARI - 2,Kaza
WEST GODAVARI - 2,Chinchinada
WEST GODAVARI - 2,Ramarajulanka
WEST GODAVARI - 2,Narasapuram
WEST GODAVARI - 2,Laxmaneswaram
WEST GODAVARI - 2,Mogaltur
WEST GODAVARI - 2,Thoorputalla
WEST GODAVARI - 2,MUNIPALLI
WEST GODAVARI - 2,PENUGONDA
WEST GODAVARI - 2,ALAMURU
WEST GODAVARI - 2,K.P.PALEM
WEST GODAVARI - 2,VALLURU
WEST GODAVARI - 2,KALIPATNAM
WEST GODAVARI - 2,BURUGUPALLI
WEST GODAVARI - 2,MURUGUKALUVA
WEST GODAVARI - 2,MEDAPADU
WEST GODAVARI - 2,MANGALAPALEM
WEST GODAVARI - 2,BRAHMANACHERUVU
WEST GODAVARI - 2,LAKSHMIVARAM MARKET
WEST GODAVARI - 2,TANUKU
WEST GODAVARI - 2,VEMPA
WEST GODAVARI - 2,PENDYALA
WEST GODAVARI - 2,"NERUDUMILLI, NEAR PALAKOL"
WEST GODAVARI - 2,RAVIPADU
WEST GODAVARI - 2,PERUPALEM
WEST GODAVARI - 2,PEKERU (near siddantam bridge)
WEST GODAVARI - 2,ITHAPUDI NEAR ALAMURU
WEST GODAVARI - 2,"ITHAMPUDI (near palakolu),TANUKU"
WEST GODAVARI - 2,VENKATAPURAM PONDS
WEST GODAVARI - 2,VEMULADEEVI
WEST GODAVARI - 2,ACHANTA
WEST GODAVARI - 2,ILINDALAPARRU VIA TANUKU
WEST GODAVARI - 2,GURUVARAM  MARKET 
WEST GODAVARI - 2,PATHAPADU
WEST GODAVARI - 2,L.B.CHERLA
WEST GODAVARI - 2,PODURU 
WEST GODAVARI - 2,AGARTHAPALEM  via LANKALAKODERU NEAR PALKOL
WEST GODAVARI - 2,TIRUGUDUMETTA
WEST GODAVARI - 2,INAPARRU
WEST GODAVARI - 2,JUNNURU
WEST GODAVARI - 2,MURUGUKALAVA PAKANNA
WEST GODAVARI - 2,"MEDAPADU, near PALAKOL"
WEST GODAVARI - 2,"LIKHITHAPUDI,near narasapuram"
WEST GODAVARI - 2,RUSTUMBADA
WEST GODAVARI - 2,ARATLAKATTA & POOLAPALLI 
WEST GODAVARI - 2,MUTYALAPALLI 
WEST GODAVARI - 2,"MUKOLLU, VIA RAJUPALEM B KOTHURU ROAD"
WEST GODAVARI - 2,"MODI, NEAR LB CHERLA"
WEST GODAVARI - 2,"KATTUKALUVA, NEAR VALLURU"
WEST GODAVARI - 2,"VELIVELA, NEAR PALAKOL"
WEST GODAVARI - 2,"BRAHMANAGUDEM, NIDADAVOLU"
WEST GODAVARI - 2,"SITHARAMPURAM, near MOGALTUR"
WEST GODAVARI - 2,"MASTYAGADA, NEAR KALIPATNAM"
EAST-II,Amalapuram
EAST-II,Challapalli
EAST-II,Allavaram
EAST-II,Komaragiripatnam
EAST-II,Kandikuppa
EAST-II,Yedurulanka
EAST-II,Muramalla
EAST-II,Mummidivaram
EAST-II,Cheyyuru
EAST-II,Kesanakurrupalem
EAST-II,Guttinadeevi
EAST-II,KONKAPALLI
EAST-II,GODILANKA
EAST-II,SAMANASA
EAST-II,GUNDIPUDI
EAST-II,GANNAVARAM
EAST-II,KOMARAGIRI
EAST-II,MOGALAMURU
EAST-II,PALLAMKURRU
EAST-II,PALLIPALEM
EAST-II,PEDAMADI
EAST-II,VEMAVARAM
EAST-II,PERURU
EAST-II,"MAHIPALACERUVU,NEAR CHEYYURU"
EAST-II,"KAPULAPALEM, NEAR YANAM"
EAST-II,"INAVELLI, NEAR MUKTHESWARAM"
EAST-II,"NEDUNURU,  NEAR MUKKAMULA"
EAST-II,"RAMESWARM NEAR ODALAREVU,KOMARAGIRIPATNAM"
EAST-II,T.KOTHAPALLI
EAST-II,"P.GANNAVARAM ,NEAR AMALAPURAM(MUNGANDA)"
EAST-II,"cheyyuru, garuvu"
EAST-II,SAMANTHAKURRU
EAST-II,KODURUPADU
EAST-II,G.MULAPALEM
EAST-II,"KATRENIKONA,NEAR CHEYYURU"
EAST-II,"SANIPALLILANKA, NEAR JAGANADHAPURAM"
EAST-II,GANTI
EAST-II,R.POLAVARAM
EAST-II,RAVULAPALEM
EAST-II,ENTRIKONA near ALLAVARAM
EAST-II,PALLAMKURRU (NEAR KANDIKUPPA)
EAST-II,THOORPULANKA NEAR MOGALAMURU 
EAST-II,"AVIDI, NEAR GANTI"
EAST-II,"PALIVELA, NEAR GANTI"
EAST-II,G VEMAVARAM (NEAR GUTHINADEEVI) 
EAST-II,MARRIPAKA  NEAR JAGGAMPETA 
EAST-II,EETHAKOTA
EAST-II,DEVAGUPTHAM NEAR ALLAVARAM 
EAST-II,"KUNAVARAM, near CHALLAPALLI"
EAST-II,ANANTHAVARAM NEAR AMALAPURAM
EAST-II,BATTUPALEM NEAR AMALAPURAM
EAST-II,GOLLAVELLI
EAST-II,"REBBANAPALLI, NEAR ALLAVARAM"
EAST-II,"KRISHNAPURAM,NEAR ANNAVARAM"
EAST-I,Kakinada
EAST-I,Atuchtapuram
EAST-I,Tallarevu
EAST-I,Gollapalem
EAST-I,Mogalipalem
EAST-I,Siripuram
EAST-I,Kazuluru
EAST-I,Velangi
EAST-I,Yenamaduru
EAST-I,Srirampuram
EAST-I,Komapapapeta
EAST-I,Addaripeta
EAST-I,"Tammyyapeta,Yendapalli"
EAST-I,Ontimamidada
EAST-I,PENUGUDURU
EAST-I,BHAVARAM
EAST-I,SIRIPURAM
EAST-I,YANAM
EAST-I,TURANGI
EAST-I,TILLAKUPPA
EAST-I,NARASARAOPETA
EAST-I,ADDA ROAD
EAST-I,ODURU
EAST-I,RAJAVARAM
EAST-I,JAGGAMPETA
EAST-I,ANTERVEDHI
EAST-I,RAMBILLI
EAST-I,"VETLAPALEM,NEAR MEDAPADU"
EAST-I,RAMACHANDRAPURAM
EAST-I,PEDAPUDI
EAST-I,"GANGAVARAM,NEAR DRAKSHARAAMAAM"
EAST-I,NAGULAPALLI
EAST-I,Tekkali ( near naupada)
EAST-I,VAKAPADU
EAST-I,KALERU NEAR MANDAPETA
EAST-I,VALLURU NEAR MANDAPETA
EAST-I,SUNKARAPALEM
EAST-I,PENTAKOTA                              
EAST-I,"TADIPATRY, NEAR PITTAPURAM"
EAST-I,KATHIPUDI
EAST-I,Marripalem
EAST-I,S.RAYAVARAM
EAST-I,DOMADA
EAST-I,"PATAVALA,near Tallarevu"
EAST-I,"ADDA ROAD, RAMBILLI (VAN)"
EAST-I,KARAPA
EAST-I,UPPADA
EAST-I,KARAKUDURU
EAST-I,"vemavaram, near ADDARIPETA"
EAST-I,A V NAGARAM
EAST-I,"VAKADARA PETA, near a v nagaram"
EAST-I,G MAMIDADA
EAST-I,"P.TIMMAPURAM, NEAR PITTAPURAM"
EAST-I,"NAGULAPALLI, RAJAVARAM"
EAST-I,"YENDAPALLI, NEAR PITTAPURAM"
EAST-I,"CHINTALAPALLI, NEAR RAZOLE"
EAST-I,"KOMMANAPALLI, NEAR, A V NAGARAM "
EAST-I,"PYDIKONDA, NEAR, PITAPURAM"
EAST-I,TUNI
EAST-I,MOGALIPALEM
EAST-I,"KUMARAPURAM, NEAR RAJAVARAM"
EAST-I,A.K. MALLAVARAM 
EAST - III,Malkipuram 
EAST - III,Kesavadasupalem
EAST - III,Gogannamatam 
EAST - III,Lakkavaram 
EAST - III,TATIPAKA
EAST - III,GONDHI
EAST - III,NAGARAM
EAST - III,PONNAMANDADA
EAST - III,YANDAMURU
EAST - III,MATTAPARRU (NEAR LAKKAVARAM)
EAST - III,RAMESWARAM NEAR SAKHINETIPALLI 
EAST - III,CHINTALAMORI
EAST - III,"KATRENIPADEPADU,NEAR  TATIPAKA"
EAST - III,KURADA
EAST - III,RAMESWARAM
EAST - III,MIGHTY NEAR MALKIPURAM
VISAKHA / SRIKAKULAM,Yelamanchilli
VISAKHA / SRIKAKULAM,Vadachipurapalli
VISAKHA / SRIKAKULAM,Parawada
VISAKHA / SRIKAKULAM,Chandanada
VISAKHA / SRIKAKULAM,Gunipudi
VISAKHA / SRIKAKULAM,Nowpada & Tekkali
VISAKHA / SRIKAKULAM,Srikakulam
VISAKHA / SRIKAKULAM,PINNETIPATA NEAR NARASANNAPETA
VISAKHA / SRIKAKULAM,"SRIKAKULAM, D.L.PURAM"
EAST-I,KUMMARIPETA
EAST-I,"NAVARA, NEAR KAKINADA"
EAST-I,"PITTAPURAM, NEAR KAKINADA"
EAST-I,"CHENNADAM, NEAR GOOGANAMATAM"
EAST-I,DUGGUDURRU
VISAKHA / SRIKAKULAM,"Saitharupeta, near Yelamanchilli"
EAST-I,"PULUGURTHA, near MANDAPETA"
VISAKHA / SRIKAKULAM,VENKATAPURAM near S.RAYAVARAM
KRISHNA  ,Alapadu/Someswaram
KRISHNA  ,Kaikaluru 
KRISHNA  ,Kalidindi 
KRISHNA  ,Korukollu
KRISHNA  ,Singarayapalem
KRISHNA  ,Bantumilli
KRISHNA  ,Gudivada 
KRISHNA  ,Rudrapaka 
KRISHNA  ,Dondapadu
KRISHNA  ,Guntakoduru
KRISHNA  ,Pedalingala 
KRISHNA  ,Ogirala 
KRISHNA  ,"Gokavaram,Pedana "
KRISHNA  ,Machilipatnam 
KRISHNA  ,Kona(MTM)
KRISHNA  ,Nagayalanka 
KRISHNA  ,Pedakammavaripalem
KRISHNA  ,Koduru 
KRISHNA  ,Pedakallepalli 
KRISHNA  ,Pasalapudi
KRISHNA  ,Pedapatnam
KRISHNA  ,Pallipalem near Losari
KRISHNA  ,Garisipudi near Losari
KRISHNA  ,Losari
KRISHNA  ,Interu
KRISHNA  ,Ramakrishnapuram
KRISHNA  ,Avanigadda
KRISHNA  ,"Koduru, near Avanigadda"
KRISHNA  ,Pedapalem
KRISHNA  ,Ullipalem
KRISHNA  ,Kammanamollu
KRISHNA  ,Vishwanadhapalli
KRISHNA  ,Lakshmipuram
KRISHNA  ,"Ramakrishnapuram, NEAR KODURU"
KRISHNA  ,INTERU
KRISHNA  ,NIDAMARRU
KRISHNA  ,Ullipalem
KRISHNA  ,GOVINDARAJU DIBBA
KRISHNA  ,CHANDALA
KRISHNA  ,HANUMAN JUNCTION 
KRISHNA  ,NIDAMARRU near KRUTHIVENNU
KRISHNA  ,NIDAMARRU & PEDDAPATNAM
GUNTUR ,Aduvuladeevi
GUNTUR ,Avanigadda & Karlapalem
GUNTUR ,Karlapalem
GUNTUR ,Karlapalem & Adivipalem
GUNTUR ,Karlapalem & Nizampatnam
GUNTUR ,Karlapalem & Perali
GUNTUR ,Karlapalem & Tummalapalli
GUNTUR ,Karlapalem & Vedullapalli
GUNTUR ,Karlapalem & Vetapalem
GUNTUR ,"Karlapalem ,Repalle, Tummalapalli"
GUNTUR ,"Karlapalem, Repalle, Avanigadda"
GUNTUR ,Lankavanidibba
GUNTUR ,Nizampatnam
GUNTUR ,Nizamptanam & Chinaganjam
GUNTUR ,Parli near Karlapalem
GUNTUR ,Pedapuluguvaripalem & Kunchanapalli
GUNTUR ,Perali
GUNTUR ,Rajukalava
GUNTUR ,Rajukalava & Talasila
GUNTUR ,Repalle 
GUNTUR ,Repalle & Avanigadda
GUNTUR ,Repalle & Karlapalem
GUNTUR ,Repalle & Matchilipatnam
GUNTUR ,Repalle & Nagayalanka
GUNTUR ,Repalle & Rajkalwa
GUNTUR ,Repalle & Tummalapalli
GUNTUR ,Tummalapalli
GUNTUR ,Vetapalem & Tummalapalli
GUNTUR ,Gurajala
GUNTUR ,Jillelamudi Near Bapatla
GUNTUR ,Repalle & Alakapuram
GUNTUR ,Vinnukonda
ONGOLE ,Ammanabrolu & Ongole
ONGOLE ,Anathavaram (Near Tanguturu)
ONGOLE ,Avanigadda & Ongole
ONGOLE ,Avanigadda & Chinaganjam
ONGOLE ,Beeramgunta
ONGOLE ,Beeramgunta & Ammanabrolu
ONGOLE ,Beeramgunta & Ongole
ONGOLE ,Chinaganajam & Singarayakonda
ONGOLE ,Chinaganjam
ONGOLE ,"Chinaganjam & Anantavaram,"
ONGOLE ,Chinaganjam & Devarampadu
ONGOLE ,Chinaganjam & Motupalli
ONGOLE ,Chinaganjam & Ongole
ONGOLE ,Chinaganjama & Thetupuram
ONGOLE ,Devarampadu & Tangutur
ONGOLE ,Eethamukala & Tangutur
ONGOLE ,Eethamukkala
ONGOLE ,Eethamukkla & Ongole
ONGOLE ,Kadavakuduru & Vetaplem
ONGOLE ,Kolladinne & Ongole
ONGOLE ,Kothapatnam & Ongole
ONGOLE ,Madanuru
ONGOLE ,Madanuru & Eethamukkala 
ONGOLE ,Madanuru & Ongole
ONGOLE ,Madanuru & Singarayakonda
ONGOLE ,Motumala & Ongole
ONGOLE ,Motumala & Thetupuram
ONGOLE ,Motupalli
ONGOLE ,Motupalli & Ongole
ONGOLE ,Motupalli & Vetapalem
ONGOLE ,Ongole & Beeramgunta
ONGOLE ,Ongole & Chintayyagaripalem
ONGOLE ,Ongole & Devarampadu
ONGOLE ,Ongole & Kanaparthy
ONGOLE ,Ongole & Madanuru
ONGOLE ,Ongole & Pandillapalli
ONGOLE ,Ongole & Singarayakonda
ONGOLE ,Ongole & Tangutur
ONGOLE ,Ongole & Velagapudi
ONGOLE ,Ongole & Velagapudi
ONGOLE ,Ongole & Vetapalem
ONGOLE ,Pandikkapalli  &   Adivideevipalem
ONGOLE ,Pandikkapalli  &   Kothapatnam
ONGOLE ,Pandillapalli & Ammanabrolu
ONGOLE ,Parli & Pandillapalli  
ONGOLE ,Parly & Pedaganjam
ONGOLE ,Pedaganjam
ONGOLE ,Ravivaripalem
ONGOLE ,Ravivaripalem & Devarmpadu
ONGOLE ,Ravivaripalem & Ongole
ONGOLE ,Ravivaripalem & Vetapalem
ONGOLE ,Singarayakonda & Chintayyagaripalem
ONGOLE ,Tanguturu
ONGOLE ,Tanguturu & Madanuru
ONGOLE ,Tanguturu & Pasupumudra
ONGOLE ,Tanguturu & Ravivaripalem
ONGOLE ,Tanguturu & Singarayakonda
ONGOLE ,Tanguturu & Vetapalem
ONGOLE ,Thetupuram
ONGOLE ,Thetupuram & Eethamukkala
ONGOLE ,Thetupuram & Ongole
ONGOLE ,Velagapudi
ONGOLE ,Vetapalem
ONGOLE ,Vetapalem  &   Adivideevipalem
ONGOLE ,Vetapalem & Ammanabrolu
ONGOLE ,Vetapalem & Anathavaram
ONGOLE ,Vetapalem & Chinaganjam
ONGOLE ,Vetapalem & Eethamukkala 
ONGOLE ,Vetapalem & Madanuru
ONGOLE ,Vetapalem & Motumala
ONGOLE ,Vetapalem & Ongole
ONGOLE ,Vetapalem & Tangutur & Ongole
ONGOLE ,Addanki 
ONGOLE ,Savalyapuram & Ongole
ONGOLE ,Alluru
ONGOLE ,Chinaganjam & Pedaganjam
ONGOLE ,Uppugundur
ONGOLE ,Alluru & Madanuru
ONGOLE ,Kadavakuduru
ONGOLE ,Koppolu
ONGOLE ,Kesupalem
ONGOLE ,Tanguturu & Ravivaripalem & Kesupalem
ONGOLE ,ONGOLE
NELLORE ,Alluru & Gudur
NELLORE ,Anathavaram  & Kavali 
NELLORE ,Bangarammpeta
NELLORE ,Bangarupalem
NELLORE ,Bangarupalem & Nellore
NELLORE ,Besthupalem
NELLORE ,Chakicharla
NELLORE ,"Chakicharla, Kavali"
NELLORE ,Chinaganjam & Kavali
NELLORE ,Chinakatepalli & Gudur
NELLORE ,Dugrajapatnam & Kota
NELLORE ,Eruru
NELLORE ,Gangapatnam
NELLORE ,Gangapatnam & Gudur
NELLORE ,Gangapatnam & Nellore
NELLORE ,Gudur
NELLORE ,Gudur & Chinakatrapalli
NELLORE ,Gudur & Nidiguntapalem
NELLORE ,Gudur & Pamanji
NELLORE ,Gudur& Yeruru
NELLORE ,Guduru & Aruru
NELLORE ,Guduru & Mallam
NELLORE ,Guduru & Tippaguntapalem
NELLORE ,Isakaplli
NELLORE ,Kakupadu
NELLORE ,Karedu
NELLORE ,Katepalli & Nellore
NELLORE ,Kattapalli & Mallam
NELLORE ,Kavali
NELLORE ,Kavali & Alluru
NELLORE ,Kavali & Bangarupalem
NELLORE ,Kavali & Enugulabavi
NELLORE ,Kavali & Isakapalli
NELLORE ,Kavali & Kurru
NELLORE ,Kavali & Mannagadinne
NELLORE ,Kavali & Mungamuru
NELLORE ,Kavali & Nadimpalli
NELLORE ,Kavali & Nellore
NELLORE ,Kavali & Pakala 
NELLORE ,Kavali & Ramayyapatnam
NELLORE ,Kavali & Tummalapenta
NELLORE ,Kavali & Tummalapenta & Mannagadinne
NELLORE ,Kavali & Tummalapenta & Nellore
NELLORE ,Kavali & Venkateswarapuram
NELLORE ,"Kodur, Near Nellore"
NELLORE ,Koduru 
NELLORE ,Kokupadu &  Kota
NELLORE ,Kolanakuduru
NELLORE ,"Kolanakuduru, Gudur"
NELLORE ,Kolladinne
NELLORE ,Kota
NELLORE ,Kota & Guduru
NELLORE ,Kota & Mallam
NELLORE ,Kota & Tikkavaram
NELLORE ,Kota & Tupilipalem
NELLORE ,Kota & Uttamanellore
NELLORE ,Kottakoduru
NELLORE ,Kottakoduru & Gangapatnam
NELLORE ,Kottakoduru & Gudur
NELLORE ,Kurru
NELLORE ,Mannagadinne
NELLORE ,Mungamuru
NELLORE ,Mypadu
NELLORE ,Nadimpalli & Venkateswarapuram
NELLORE ,Nediguntapalem
NELLORE ,Nellore
NELLORE ,Nellore & Guduru
NELLORE ,Nellore & Isakapalli
NELLORE ,Nellore & Kesipalem 
NELLORE ,Nellore & Koduru
NELLORE ,Nellore & Kurru
NELLORE ,Nellore & Mallam
NELLORE ,Nellore & Manngadinne
NELLORE ,Nellore & Mungamuru
NELLORE ,Nellore & Mypadu
NELLORE ,Nellore & Pudiparthy
NELLORE ,Nellore & Ramayyapatnam
NELLORE ,Nellore & Tallapudi
NELLORE ,Nellore & Tikkavaram
NELLORE ,Nellore & Tippaguntapalem
NELLORE ,Nellore & Tummalapenta
NELLORE ,Nellore & Uttukuru
NELLORE ,Nidiguntapalem & Nellore
NELLORE ,Nidiguntapalem & Pudiparthy
NELLORE ,"Nidiguntapalem, & Gangapatnam"
NELLORE ,North Moparu&  Nellore
NELLORE ,Northmopparu
NELLORE ,Pakala
NELLORE ,Pakali & Nellore
NELLORE ,Pamanji & Kota
NELLORE ,Pedakattepalli
NELLORE ,Pedapallipalem
NELLORE ,Pentakota
NELLORE ,Pottempadu
NELLORE ,Pudiparthy
NELLORE ,Pudiparthy & Gangapatnam
NELLORE ,Pudiparthy & Guduru
NELLORE ,Pudiparthy & Kavali
NELLORE ,Pudiparthy & Kota
NELLORE ,Raghavavaripalem
NELLORE ,Ramayyapatnam
NELLORE ,Ramudupalem & Nellore
NELLORE ,Salipeta & Nellore
NELLORE ,Tallapudi
NELLORE ,Tanguturu & Chakicharla
NELLORE ,Thirumur  & Kota
NELLORE ,Tikkavaram
NELLORE ,Tippaguntapalem
NELLORE ,Tummalapenta 
NELLORE ,Tummalapenta & Bangarupalem
NELLORE ,Tummalapenta & Mannagadinne
NELLORE ,Tummalapenta & Nadimpalli
NELLORE ,Venkateswarapuram
NELLORE ,Nadimpalli
NELLORE ,Nellore & Kota
NELLORE ,Gangavaram
NELLORE ,Kota & Kothagunta
NELLORE ,Kota & Venkannapalem
NELLORE ,Nidimusali
NELLORE ,Nidimusali & Thotapalligudur
NELLORE ,T P Gudur
NELLORE ,Badvelu & Kolanakudur
NELLORE ,Muthukuru
NELLORE ,Mahalakshmipuram
NELLORE ,Veerapalli
NELLORE ,Mudivarthi
NELLORE ,Otturu
NELLORE ,Gudur & Kothagunta
NELLORE ,Nellore & Kudithepalem & Badvelu
NELLORE ,Vuthukur
NELLORE ,"Aletip Adusite,Kota"
NELLORE ,Mahalakshmipuram & Nellore
NELLORE ,"Krishnapatnam,Yeruru"
NELLORE ,"Gangapatinam,T.P.Guduru"
NELLORE ,"Nellore T.P.Guduru, & Krishnapatinam"
NELLORE ,Kothagunta
NELLORE ,Badwel & Kota
NELLORE ,Ramudu Palem
NELLORE ,Nellore & Kudithipalem
NELLORE ,Vavilapalem Site
NELLORE ,Venkannapalem
NELLORE ,Badvelu & Gudur
